AMC Name,AMC Launch Date,Mutual Fund Name,AUM,Type,Scheme Launch Date,Expense Ratio,Investment Type,NAV,Minimum Investment,Minimum SIP Amount,Total Return,1m_return,1y_return,2y_return,3y_return,4y_return,5y_return,10y_return,Exit Load Per,Exit Load Days
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential BHARAT 22 FOF Direct   Growth,163.07997581,Other,2018-06-29,0.08,FoF Overseas/Domestic,20.5075,5000,1000,106.041,7.6280571255,42.1315489946,73.174257642104,164.54176617107,95.072096039688,99.383582190654,0.0,0.0,0
ESCORTS,1996-04-15,Quant Tax Plan Direct Growth,4049.3929,Equity,2013-01-07,0.57,ELSS,287.2871,500,500,637.007399,6.6744251903,22.1444759662,32.125478553083,183.27582127707,209.98707636974,210.08368052458,801.65299069451,0.0,0
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Infrastructure Direct Fund Growth,671.572,Equity,2013-01-01,1.66,Sectoral / Thematic,70.71,1000,1000,330.208333,7.9489544895,43.110476967,39.360857483128,161.87989556136,122.88888888889,104.03952339436,435.54538520213,1.0,30
IDBI,2010-03-29,IDBI Small Cap Fund Direct   Growth,160.8881,Equity,2017-06-21,1.54,Small Cap,22.81,5000,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360
LIC,1994-04-20,LIC MF Small Cap Fund Direct   Growth,160.8881,Equity,2017-06-21,1.54,Small Cap,22.95,5000,500,128.2,2.8391167192,25.0410958904,40.777297964219,167.84037558685,150.76923076923,117.12654614653,0.0,1.0,360
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Midcap Fund Direct Growth,4959.7199,Equity,2014-02-24,0.73,Mid Cap,66.0573,500,500,557.413,1.4269536722,28.7074108082,61.228638976632,166.50761927541,166.56813491146,135.65639439225,0.0,1.0,15
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential India Opportunities Fund Direct   Growth,9698.2010788,Equity,2019-01-15,0.7,Sectoral / Thematic,25.04,5000,100,149.4,7.7321814255,32.9424307036,57.449494949494,166.16862326574,141.43272023233,0.0,0.0,1.0,365
FRANKLIN_TEMPLETON,1996-02-19,Franklin Build India Direct Fund Growth,1364.61013546,Equity,2013-01-01,0.94,Sectoral / Thematic,96.5028,5000,500,610.876548,8.3883057295,38.2115749865,48.489938553473,159.58208634735,120.29133400909,129.29136546518,661.1638870743,1.0,365
Invesco,2006-07-24,Invesco India Smallcap Fund Direct   Growth,2106.0235,Equity,2018-10-30,0.76,Small Cap,27.74,1000,500,176.2,5.098934551,30.0989166274,31.900668576886,160.07532956685,183.57289527721,0.0,0.0,1.0,365
HSBC,2002-05-27,HSBC Infrastructure Fund Direct Growth,1717.65765486,Equity,2013-01-01,1.09,Sectoral / Thematic,35.0679,5000,1000,414.718101,7.4142191012,38.4147655184,51.018631377328,158.79702501287,121.43641330712,98.371491960385,557.35670298437,1.0,365
UNION_KBC,2009-12-30,Union Small Cap Fund Direct Growth,890.5637,Equity,2014-06-10,1.21,Small Cap,38.05,1000,1000,276.7,5.5773542601,25.1079375623,30.5719237435,167.73276474769,188.88036809816,143.50355526826,0.0,1.0,15
SBI,1987-06-29,SBI Small Cap Fund Direct Growth,18624.5385549,Equity,2013-01-02,0.72,Small Cap,145.0795,5000,500,1015.919192,4.6984190859,26.0518377374,37.554964499948,155.9652959345,173.20263427217,162.95574096757,1063.847649919,1.0,365
Axis,2009-09-04,Axis Small Cap Fund Direct Growth,14251.715001,Equity,2013-11-29,0.55,Small Cap,83.44,500,100,725.5,2.3939469114,26.0497785922,35.951910408432,160.57449494949,176.27175368139,190.66901408451,0.0,1.0,360
ESCORTS,1996-04-15,Quant Flexi Cap Fund Direct Growth,1611.60640372,Equity,2013-01-07,0.58,Flexi Cap,74.7192,5000,1000,531.983955,7.1423490481,27.1878863211,29.6873493229,171.86810727294,192.40631163708,175.71095946579,748.68940025694,0.0,0
FRANKLIN_TEMPLETON,1996-02-19,Templeton India Value Fund Direct Plan Growth,1135.98121317,Equity,2013-01-01,0.82,Value,558.1302,5000,500,344.735363,6.3641251531,29.9763043075,45.961127725978,154.80494321005,126.22352524405,106.16820152317,394.52391064975,1.0,365
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Nifty Smallcap 250 Index Fund Direct   Growth,351.4849,Other,2019-09-06,0.36,Index,25.0113,500,500,148.819,7.3527571761,30.1470319014,23.684092795752,157.70465655812,0.0,0.0,0.0,0.0,0
SBI,1987-06-29,SBI Consumption Opportunities Fund Direct Growth,1415.6478,Equity,2013-01-01,1.11,Sectoral / Thematic,263.9271,5000,500,427.239792,4.3610245097,25.7932848547,52.169115693102,154.88685790592,131.89984100349,112.83597887873,350.37264755014,0.1,30
RELIANCE,1995-06-30,Nippon India Power & Infra Fund Direct Growth,2250.4486,Equity,2012-12-31,1.48,Sectoral / Thematic,231.7207,5000,100,283.197747,8.1571940297,48.1792819487,55.296724805563,153.36310969625,133.98245162754,121.77990961554,437.36059782166,1.0,30
SBI,1987-06-29,SBI Magnum Mid Cap Direct Plan Growth,11132.5262,Equity,2013-01-01,0.91,Mid Cap,188.3135,5000,500,574.125312,2.692529628,24.5298535959,39.724033517932,152.42367366364,164.3106904294,143.34521132297,671.09120088861,1.0,365
HDFC,1999-12-10,HDFC Mid Cap Opportunities Direct Plan Growth,42731.6416,Equity,2013-01-01,0.88,Mid Cap,133.856,100,100,614.298633,5.9140421034,36.7033839638,47.089558778425,156.35440331418,151.7737278284,125.6065188172,690.12062371286,1.0,365
CANARA_ROBECO,1987-12-19,Canara Robeco Infrastructure Direct Growth,319.0699,Equity,2013-01-02,1.22,Sectoral / Thematic,106.26,5000,1000,361.788971,5.3804994055,28.6595693201,45.924807903402,149.76514795679,132.96823658269,125.94008922881,437.93626707132,1.0,365
IDFC,1999-12-20,Bandhan Emerging Businesses Fund Direct   Growth,1746.7166,Equity,2020-02-25,0.66,Small Cap,27.039,1000,100,167.27,6.2196963675,26.130250118,20.500450856627,151.66666666667,0.0,0.0,0.0,1.0,365
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Small Cap Fund Direct Growth,3713.7589,Equity,2013-01-01,0.91,Small Cap,70.0596,1000,1000,416.403694,6.610207046,28.2020253605,20.155799652468,148.22447049382,110.01924796532,71.819962802231,490.76251460143,1.0,90
BOI_AXA,2008-03-31,Bank of India Manufacturing & Infrastructure Direct Growth,107.728,Equity,2013-01-02,1.26,Sectoral / Thematic,40.9,5000,1000,373.948598,4.7508391428,31.1671516327,38.748290013679,145.87878787879,159.3989769821,126.77473448854,472.2143864598,1.0,365
DHFL_PRAMERICA,2010-05-13,PGIM India Midcap Opportunities Fund Direct Growth,8965.4398,Equity,2013-12-02,0.42,Mid Cap,53.75,5000,1000,435.5,3.1195840555,15.0128865979,27.016129032258,150.35063113604,206.52547223812,165.625,0.0,0.5,90
ESCORTS,1996-04-15,Quant Active Fund Direct Growth,4787.09251255,Equity,2013-01-07,0.58,Multi Cap,515.9421,5000,1000,602.428357,6.7274612899,22.7167029324,32.108178984381,161.08075129603,187.23290406155,185.78922621728,712.63956816061,0.0,0
MIRAE_ASSET,2019-04-26,Mirae Asset Midcap Fund Direct   Growth,10567.13257531,Equity,2019-07-29,0.62,Mid Cap,26.23,5000,1000,158.93,5.9235017386,21.3127811094,30.351389448248,142.71653543307,0.0,0.0,0.0,1.0,365
RELIANCE,1995-06-30,Nippon India Growth Fund Direct  Growth,16353.1565,Equity,2012-12-31,1.15,Mid Cap,2748.8036,100,100,440.797363,5.3222725476,29.3416251926,38.269993884337,145.4676739964,146.18420894372,142.38017491526,549.65939697904,1.0,30
Edelweiss,2008-04-30,Edelweiss Mid Cap Direct Plan Growth,3250.386,Equity,2013-01-01,0.48,Mid Cap,68.138,5000,100,631.396733,3.0722083308,23.3383809819,29.816038098164,143.03638193845,157.57448754096,130.89244851258,708.55160865925,1.0,90
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life PSU Equity Fund Direct   Growth,1133.4458,Equity,2019-12-30,0.78,Sectoral / Thematic,20.89,500,500,109.5,9.5711297071,41.6497633536,57.518796992481,136.99095022624,0.0,0.0,0.0,1.0,30
Invesco,2006-07-24,Invesco India Infrastructure Fund Direct Growth,554.6058,Equity,2013-01-01,1.06,Sectoral / Thematic,45.4,1000,500,482.687339,4.8837209302,28.526645768,38.59864781807,138.62433862434,146.58283214871,144.70971242539,606.89655172414,1.0,365
RELIANCE,1995-06-30,Nippon India Banking & Financial Services Fund Direct Growth,4398.7004,Equity,2012-12-31,1.19,Sectoral / Thematic,485.5787,5000,100,302.801321,6.4365220335,30.9747885653,37.760806452465,135.52325083905,72.750605743941,74.116418271325,415.15973901063,1.0,30
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Dividend Yield Equity Fund Direct Growth,1849.05445682,Equity,2014-05-16,0.66,Dividend Yield,36.38,5000,100,263.0,5.9544658494,29.5965726526,46.785281035179,138.34537097833,121.47651006711,107.78477389811,0.0,1.0,365
IDFC,1999-12-20,Bandhan Tax Advantage (ELSS) Direct Plan Growth,4776.4903,Equity,2013-01-01,0.73,ELSS,130.526,500,500,483.666629,6.0972835976,26.4008516404,35.165062609955,140.80014749263,129.34152765584,118.88721300486,502.38352196733,0.0,0
KOTAK_MAHINDRA,1994-08-05,Kotak Emerging Equity Fund Direct Growth,29758.5003,Equity,2013-01-01,0.39,Mid Cap,97.948,100,100,595.623399,3.8711665569,23.4422751496,31.30188324423,140.02209944751,147.29678447643,138.34824803102,776.20114736465,1.0,365
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Nifty Midcap 150 Index Fund Direct   Growth,846.895,Other,2019-09-06,0.3,Index,25.0525,500,500,148.662,5.2934227074,28.0983731545,34.66083245784,137.00152497141,0.0,0.0,0.0,0.0,0
LIC,1994-04-20,LIC MF Infrastructure Fund Direct Growth,105.0472,Equity,2013-01-02,1.47,Sectoral / Thematic,31.7478,5000,1000,265.124752,5.4646737931,26.0118678234,44.85651008276,131.03940626604,107.73278594258,117.853586705,326.23267937989,1.0,90
HDFC,1999-12-10,HDFC Retirement Savings Fund Equity Plan Direct Growth,3336.9853,Solution Oriented,2016-02-25,0.75,Retirement,40.807,100,100,311.0,6.7477014181,31.5410465675,39.525409919543,136.49231831521,138.63438425361,136.16617824513,0.0,0.0,0
UNION_KBC,2009-12-30,Union Midcap Fund Direct   Growth,722.6314,Equity,2020-03-23,0.83,Mid Cap,33.73,1000,1000,235.4,3.9355438488,22.4981738495,29.798761609907,140.60258249641,0.0,0.0,0.0,1.0,15
Sundaram,1996-02-26,Sundaram Infrastructure Advantage Fund Direct Growth,673.57842693,Equity,2013-01-02,1.97,Sectoral / Thematic,65.8167,100,100,254.014599,6.1124884294,29.4597289267,36.116329517265,130.64774266167,103.65493080229,97.865997175584,394.45014176268,1.0,365
HDFC,1999-12-10,HDFC Flexi Cap Direct Plan Growth,36345.364,Equity,2013-01-01,0.96,Flexi Cap,1391.645,100,100,371.265781,5.5963041011,28.8890342408,46.05739257162,133.41842054773,103.03343849679,116.57910054057,433.47886598921,1.0,365
MAHINDRA,2016-02-04,Mahindra Manulife Mid Cap Fund Direct   Growth,1295.0578,Equity,2018-01-30,0.6,Mid Cap,22.9931,1000,500,145.585719,5.4928140851,29.1878601008,32.253697986267,136.83352759755,151.02277324062,135.92581175503,0.0,1.0,90
HDFC,1999-12-10,HDFC Focused 30 Fund Direct Plan Growth,5308.2981,Equity,2013-01-01,0.57,Focused,165.016,100,100,311.274875,4.9295730067,29.4462189665,52.830206076252,130.40951930829,108.37513357219,107.03472395703,417.63530183317,1.0,365
SBI,1987-06-29,SBI Infrastructure Fund Direct Growth,1082.1951,Equity,2013-01-02,1.82,Sectoral / Thematic,34.8705,5000,500,302.518476,6.1245676847,33.4434576219,45.629822736368,130.3479858321,123.11468694394,129.48662242587,415.90421359539,0.5,30
HDFC,1999-12-10,HDFC Large and Mid Cap Fund Direct  Growth,9843.5531,Equity,2013-01-01,1.01,Large & MidCap,240.195,100,100,260.051997,6.8958021887,28.1534190625,40.290860822281,131.57469872571,118.03474484256,116.05250416913,270.12825435834,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Manufacturing Fund Direct   Growth,896.96122072,Equity,2018-10-11,1.58,Sectoral / Thematic,23.26,5000,100,134.7,7.6605504587,33.2765474162,42.93544457978,134.46553446553,130.77679449361,0.0,0.0,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,8582.18564602,Equity,2013-01-01,1.01,Large & MidCap,722.79,5000,100,366.675273,6.3061473542,25.293730288,43.439273102408,129.43547107543,116.00095599438,119.86984551758,390.41579054467,1.0,30
Tata,1995-06-30,Tata Midcap Growth Direct Plan Growth,2143.01865762,Equity,2013-01-01,0.95,Mid Cap,326.7352,5000,150,548.808988,5.6970893134,25.5639473953,30.88030608004,124.87416148494,133.85241599124,135.08726091621,637.43534527289,1.0,365
FRANKLIN_TEMPLETON,1996-02-19,Templeton India Equity Income Direct Plan Growth,1498.41108833,Equity,2013-01-01,1.13,Dividend Yield,104.1577,5000,500,343.729518,4.7384769499,18.6627219206,32.124190624685,129.74604334873,119.96619493687,109.81171158779,372.97019995896,1.0,365
MAHINDRA,2016-02-04,Mahindra Manulife Multi Cap Fund Direct   Growth,1844.9249,Equity,2017-05-11,0.47,Multi Cap,26.9989,1000,500,171.89,6.9653992171,28.491831324,34.277276229232,128.25648947245,144.43505466053,143.99414895049,0.0,1.0,90
DSP,1996-12-16,DSP Natural Resources and New Energy Fund Direct Plan Growth,682.8317,Equity,2013-01-03,1.18,Sectoral / Thematic,67.93,100,100,406.846273,7.842519685,31.3336657589,25.729813094407,132.61659703115,118.68812671648,105.21426430926,540.95844253089,0.0,0
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential India Equity FOF Direct   Growth,72.53404893,Other,2020-02-25,0.79,FoF Overseas/Domestic,20.7073,500,100,105.495,5.8837774892,20.9228017112,33.788420346751,120.96474155636,0.0,0.0,0.0,1.0,360
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Thematic Advantage Fund (FOF)Direct  Growth,1178.36690654,Other,2013-04-04,0.34,FoF Overseas/Domestic,160.5866,5000,1000,217.083878,5.5134493473,23.6207736619,32.732975348017,126.89858058381,127.38797863802,118.50229268725,0.0,1.0,365
UTI,2002-11-14,UTI Mid Cap Fund Direct Growth,8228.9389,Equity,2013-01-01,0.97,Mid Cap,237.4378,5000,500,547.240055,4.5307020362,21.8813996789,27.101942741388,124.95427855469,143.57379361184,113.58118464186,638.25736476803,1.0,365
ESCORTS,1996-04-15,Quant Multi Asset Fund Direct Growth,842.53180144,Hybrid,2013-01-07,0.56,Multi Asset Allocation,98.4417,5000,1000,304.633412,6.5157690489,24.4327785826,35.485175054404,143.86536132468,163.98117046444,185.13084807549,289.73064172156,0.0,0
BARODABNPPARIBASMUTUALFUND_MF,2004-04-15,Baroda BNP Paribas Midcap Direct Growth,1351.6193,Equity,2013-01-02,0.66,Mid Cap,78.2946,5000,500,526.46587,5.1210888236,23.4667728998,25.787161258942,125.02124839737,137.6860595695,128.19414536944,582.13300027949,1.0,360
SBI,1987-06-29,SBI PSU Direct Plan Growth,562.0318,Equity,2013-01-01,1.38,Sectoral / Thematic,19.6691,5000,500,133.569231,11.4105401012,43.70194548,53.83763981449,118.77050634034,86.970443349753,85.743998042481,184.63102637689,0.5,30
UTI,2002-11-14,UTI Transportation and Logistics Fund Direct Growth,2293.3299,Equity,2013-01-01,0.97,Sectoral / Thematic,197.809,5000,500,508.674848,6.0094059257,25.3583580685,53.276366103226,129.8010919009,125.07894353492,60.606516126401,555.42876721269,1.0,30
JM_FINANCIAL,1994-09-15,JM Value Fund Direct Plan Growth,187.76258525,Equity,2013-01-01,1.81,Value,71.9572,1000,100,391.101472,8.0362871899,37.9745256423,41.180860067669,122.11621936413,122.17730969863,110.40635654604,503.57469672166,1.0,30
Sundaram,1996-02-26,Sundaram Services Fund Direct   Growth,2644.22186063,Equity,2018-09-21,0.78,Sectoral / Thematic,25.4944,100,100,157.576,5.4252397461,24.8992614934,35.108369526447,124.62957956518,136.46445358402,0.0,0.0,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Midcap Direct Plan Growth,3998.97891505,Equity,2013-01-01,1.12,Mid Cap,202.91,5000,100,488.627792,4.571458022,18.4886708713,23.36596339758,122.52686992761,111.57455683003,100.77181872155,621.80718605478,1.0,365
Sundaram,1996-02-26,Sundaram Mid Cap Fund Direct Growth,7975.5122448,Equity,2013-01-02,0.97,Mid Cap,917.9388,100,100,425.807649,5.1697847566,25.3584379247,31.081882897205,119.86912682315,106.41838620334,82.699130960562,504.95929872649,1.0,365
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Mid Cap Direct Fund Growth,3941.5494,Equity,2013-01-01,1.11,Mid Cap,578.64,1000,1000,379.042165,6.1640055919,19.4729651403,26.208178438661,121.10485384822,104.88107916223,82.833338613108,460.50305914344,1.0,90
HDFC,1999-12-10,HDFC Housing Opportunities Fund Direct   Growth,1112.9343,Equity,2017-12-06,1.27,Sectoral / Thematic,16.855,100,100,66.89,7.7265685515,31.1203645506,31.970583583741,115.17534811759,74.937106918238,78.606592465753,0.0,1.0,30
RELIANCE,1995-06-30,Nippon India Large Cap Fund Direct Growth,14769.2532,Equity,2012-12-31,0.94,Large Cap,69.9106,100,100,379.115039,7.065517362,29.9781444167,45.671184189566,120.26363781394,95.755676889887,104.4793499788,438.60175163499,1.0,7
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Value Discovery Direct Growth,30705.23105383,Equity,2013-01-01,1.13,Value,344.06,1000,100,486.863683,7.3560201244,28.5356180784,46.203932249553,125.69307581133,127.78809176502,124.17618270799,580.97125867195,1.0,360
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Focused Equity Fund Direct Growth,9070.25715116,Equity,2013-01-01,0.82,Focused,86.1116,5000,500,497.432617,5.690634814,23.6900211172,32.023619297558,119.89741962775,100.96718074751,113.79030935356,526.83620077087,1.0,365
ESCORTS,1996-04-15,Quant Absolute Fund Direct Growth,1246.4855,Hybrid,2013-01-07,0.56,Aggressive Hybrid,342.0893,5000,1000,440.297006,5.3678139386,17.5584569196,27.328810590344,131.60530646797,146.39026593732,160.6147960947,509.62470970573,0.0,0
BOI_AXA,2008-03-31,Bank of India Flexi Cap Fund Direct   Growth,369.3503,Equity,2020-06-29,0.99,Flexi Cap,23.41,5000,1000,133.2,6.6788655078,24.1746538871,25.849973016729,117.33457595526,0.0,0.0,0.0,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Retirement Fund   Pure Equity Plan Direct   Growth,297.86445387,Solution Oriented,2019-02-27,1.22,Retirement,21.71,5000,100,118.2,7.9663532905,26.56612529,47.831978319783,123.79487179487,110.61776061776,0.0,0.0,0.0,0
UTI,2002-11-14,UTI Infrastructure Fund Direct Growth,1602.1228,Equity,2013-01-01,1.92,Sectoral / Thematic,99.1798,5000,500,224.792237,5.074489222,26.5887584345,31.784748212102,119.22617999295,86.112746444784,85.716363826251,305.60830268298,1.0,30
BOI_AXA,2008-03-31,Bank of India Mid & Small Cap Equity & Debt Fund Direct Growth,418.5208,Hybrid,2016-07-20,1.54,Aggressive Hybrid,27.85,5000,1000,173.2,4.9155145929,22.2371364653,19.614711033274,117.86283891547,140.70484581498,95.422031473533,0.0,1.0,365
SBI,1987-06-29,SBI Large & Midcap Fund Direct Plan Growth,12609.1117,Equity,2013-01-01,0.92,Large & MidCap,472.2258,5000,500,431.082819,4.6673322352,25.400023212,33.050961344904,120.09001756542,113.59836648993,119.31210997491,467.50068352208,0.1,30
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Large and Midcap Fund Direct   Growth,1829.1597,Equity,2019-10-17,0.64,Large & MidCap,20.9914,500,500,111.532,4.7867676563,32.8768672186,30.659188614913,119.16780637407,0.0,0.0,0.0,1.0,15
Sundaram,1996-02-26,Sundaram Financial Services Opportunities Fund Direct Growth,759.3095847,Equity,2013-01-02,0.94,Sectoral / Thematic,82.1704,100,100,289.470261,6.7896004821,34.6297102345,39.456657188918,112.28669114854,89.160571669716,102.61984877492,395.23151184294,1.0,365
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Opportunities Direct Fund Growth,817.89370617,Equity,2013-01-01,1.43,Sectoral / Thematic,158.1521,5000,500,370.135039,7.2560222212,35.3513586924,31.959581027754,118.99015662071,110.1065426671,105.4732405577,415.64444298906,1.0,365
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Pure Value Direct Fund Growth,4303.672,Equity,2013-01-01,1.07,Value,96.1923,1000,1000,422.538364,8.0269623636,30.522803958,28.325878594249,122.3471856699,94.330064206589,63.062375777054,490.68370935918,1.0,90
