AMC Name,AMC Launch Date,Rank,Mutual Fund Name,AUM,Type,Scheme Launch Date,Exit Load,Expense Ratio,Investment Type,NAV,Minimum Investment,Minimum SIP Amount,Total Return,1m_return,1y_return,2y_return,3y_return,4y_return,5y_return,10y_return
IDFC,1999-12-20T00:00:00.831Z,9.0,Bandhan Infrastructure Fund Direct Plan Growth,711.8268,Equity,01-Jan-2013,"If unit beyond 10%, Exit load of 1% if redeemed within 1 year.",1.13,Sectoral / Thematic,35.508,1000,100.0,294.266359,7.1838029028,39.1056588841,38.17610062893,175.48589341693,126.78709677419,104.49098312973,376.0950239727
KOTAK_MAHINDRA,1994-08-05T00:00:00.887Z,5.0,Kotak Infrastructure and Economic Reform Fund Direct Growth,962.6904,Equity,01-Jan-2013,Exit load of 1% if redeemed within 90 days.,0.84,Sectoral / Thematic,51.218,100,100.0,466.556291,5.5781809206,37.7653721249,57.758859144973,176.66684633213,139.83739837398,139.90465507571,592.15210355987
DSP,1996-12-16T00:00:00.567Z,10.0,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,2129.5957,Equity,01-Jan-2013,Exit load of 1% if redeemed less than 12 months,1.25,Sectoral / Thematic,211.877,100,100.0,345.227268,8.1350847362,39.7327474045,49.473467445873,170.10598983729,126.65496597467,129.10458320182,462.09511602446
Sundaram,1996-02-26T00:00:00.179Z,17.0,Sundaram Small Cap Fund Direct Growth,2342.49982827,Equity,02-Jan-2013,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",0.9,Small Cap,194.6222,100,100.0,457.9859,5.0817613631,30.9532193398,35.731049570385,176.71985336788,165.2537600326,121.66117238245,664.2780629855
SBI,1987-06-29T00:00:00.063Z,1.0,SBI Contra Direct Plan Growth,11865.27994633,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.84,Contra,285.8776,5000,500.0,382.330814,7.0054943008,31.3457188076,50.571770964498,180.14509164787,171.79031037093,154.05636812646,432.40653209513
DSP,1996-12-16T00:00:00.761Z,10.0,DSP Small Cap Direct Plan Growth,10763.8512,Equity,01-Jan-2013,Exit load of 1% if redeemed less than 12 months,0.92,Small Cap,149.384,100,100.0,739.651761,7.050394972,29.7442258639,39.204843667991,174.32677034465,184.48351816736,152.35061250149,907.63907734057
ESCORTS,1996-04-15T00:00:00.465Z,34.0,Quant Mid Cap Fund Direct Growth,2188.28430267,Equity,07-Jan-2013,Exit load of 0.50% if redeemed within 3 months.,0.63,Mid Cap,167.6171,5000,1000.0,449.917668,9.3701408026,29.6643157858,46.82200525297,183.66786998743,222.35975477794,189.47086916966,432.79921496629
RELIANCE,1995-06-30T00:00:00.289Z,6.0,Nippon India Multi Cap Fund Direct Growth,17440.7113,Equity,31-Dec-2012,"For units more than 10% of the investments, an exit load of 1% if redeemed within 12 months.",1.0,Multi Cap,216.1155,100,100.0,376.383263,6.6345150032,33.9006847582,55.841968506857,164.38198823281,117.50496319723,127.23457319,451.17876120762
Tata,1995-06-30T00:00:00.171Z,14.0,Tata Infrastructure Direct Plan Growth,1148.49540032,Equity,01-Jan-2013,Exit load of 0.25% if redeemed within 30 days.,1.45,Sectoral / Thematic,130.5831,5000,150.0,328.943265,5.8049924266,32.0123173597,49.711832318505,168.24661929865,127.83673007086,133.76470566873,427.44621662481
ICICI_PRUDENTIAL,1993-10-12T00:00:00.851Z,3.0,ICICI Prudential BHARAT 22 FOF Direct   Growth,163.07997581,Other,29-Jun-2018,Nil,0.08,FoF Overseas/Domestic,20.5075,5000,1000.0,106.041,7.6280571255,42.1315489946,73.174257642104,164.54176617107,95.072096039688,99.383582190654,
ESCORTS,1996-04-15T00:00:00.576Z,34.0,Quant Tax Plan Direct Growth,4049.3929,Equity,07-Jan-2013,Nil,0.57,ELSS,287.2871,500,500.0,637.007399,6.6744251903,22.1444759662,32.125478553083,183.27582127707,209.98707636974,210.08368052458,801.65299069451
BIRLA_SUN_LIFE,1994-12-23T00:00:00.680Z,4.0,Aditya Birla Sun Life Infrastructure Direct Fund Growth,671.572,Equity,01-Jan-2013,Exit load of 1% if redeemed within 30 days.,1.66,Sectoral / Thematic,70.71,1000,1000.0,330.208333,7.9489544895,43.110476967,39.360857483128,161.87989556136,122.88888888889,104.03952339436,435.54538520213
IDBI,2010-03-29T00:00:00.381Z,29.0,IDBI Small Cap Fund Direct   Growth,160.8881,Equity,21-Jun-2017,Exit load of 1% if redeemed within 12 months.,1.54,Small Cap,22.81,5000,500.0,,,,,,,,
LIC,1994-04-20T00:00:00.017Z,20.0,LIC MF Small Cap Fund Direct   Growth,160.8881,Equity,21-Jun-2017,Exit load of 1% if redeemed within 12 months.,1.54,Small Cap,22.95,5000,500.0,128.2,2.8391167192,25.0410958904,40.777297964219,167.84037558685,150.76923076923,117.12654614653,
MOTILAL_OSWAL,2009-12-29T00:00:00.691Z,19.0,Motilal Oswal Midcap Fund Direct Growth,4959.7199,Equity,24-Feb-2014,Exit load of 1% if redeemed within 15 days,0.73,Mid Cap,66.0573,500,500.0,557.413,1.4269536722,28.7074108082,61.228638976632,166.50761927541,166.56813491146,135.65639439225,
ICICI_PRUDENTIAL,1993-10-12T00:00:00.387Z,3.0,ICICI Prudential India Opportunities Fund Direct   Growth,9698.2010788,Equity,15-Jan-2019,Exit load of 1% if redeemed within 1 year.,0.7,Sectoral / Thematic,25.04,5000,100.0,149.4,7.7321814255,32.9424307036,57.449494949494,166.16862326574,141.43272023233,,
FRANKLIN_TEMPLETON,1996-02-19T00:00:00.166Z,11.0,Franklin Build India Direct Fund Growth,1364.61013546,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.94,Sectoral / Thematic,96.5028,5000,500.0,610.876548,8.3883057295,38.2115749865,48.489938553473,159.58208634735,120.29133400909,129.29136546518,661.1638870743
Invesco,2006-07-24T00:00:00.855Z,16.0,Invesco India Smallcap Fund Direct   Growth,2106.0235,Equity,30-Oct-2018,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",0.76,Small Cap,27.74,1000,500.0,176.2,5.098934551,30.0989166274,31.900668576886,160.07532956685,183.57289527721,,
HSBC,2002-05-27T00:00:00.528Z,21.0,HSBC Infrastructure Fund Direct Growth,1717.65765486,Equity,01-Jan-2013,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",1.09,Sectoral / Thematic,35.0679,5000,1000.0,414.718101,7.4142191012,38.4147655184,51.018631377328,158.79702501287,121.43641330712,98.371491960385,557.35670298437
UNION_KBC,2009-12-30T00:00:00.128Z,27.0,Union Small Cap Fund Direct Growth,890.5637,Equity,10-Jun-2014,1% exit load if redeemed within 15 days.,1.21,Small Cap,38.05,1000,1000.0,276.7,5.5773542601,25.1079375623,30.5719237435,167.73276474769,188.88036809816,143.50355526826,
SBI,1987-06-29T00:00:00.894Z,1.0,SBI Small Cap Fund Direct Growth,18624.5385549,Equity,02-Jan-2013,Exit load of 1% if redeemed within 1 year,0.72,Small Cap,145.0795,5000,500.0,1015.919192,4.6984190859,26.0518377374,37.554964499948,155.9652959345,173.20263427217,162.95574096757,1063.847649919
Axis,2009-09-04T00:00:00.799Z,7.0,Axis Small Cap Fund Direct Growth,14251.715001,Equity,29-Nov-2013,Exit load of 1% for investments beyond 10% if redeemed within 12 months,0.55,Small Cap,83.44,500,100.0,725.5,2.3939469114,26.0497785922,35.951910408432,160.57449494949,176.27175368139,190.66901408451,
ESCORTS,1996-04-15T00:00:00.702Z,34.0,Quant Flexi Cap Fund Direct Growth,1611.60640372,Equity,07-Jan-2013,Nil,0.58,Flexi Cap,74.7192,5000,1000.0,531.983955,7.1423490481,27.1878863211,29.6873493229,171.86810727294,192.40631163708,175.71095946579,748.68940025694
FRANKLIN_TEMPLETON,1996-02-19T00:00:00.326Z,11.0,Templeton India Value Fund Direct Plan Growth,1135.98121317,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.82,Value,558.1302,5000,500.0,344.735363,6.3641251531,29.9763043075,45.961127725978,154.80494321005,126.22352524405,106.16820152317,394.52391064975
MOTILAL_OSWAL,2009-12-29T00:00:00.039Z,19.0,Motilal Oswal Nifty Smallcap 250 Index Fund Direct   Growth,351.4849,Other,06-Sep-2019,Nil,0.36,Index,25.0113,500,500.0,148.819,7.3527571761,30.1470319014,23.684092795752,157.70465655812,,,
SBI,1987-06-29T00:00:00.694Z,1.0,SBI Consumption Opportunities Fund Direct Growth,1415.6478,Equity,01-Jan-2013,Exit load of 0.10% if redeemed within 30 days.,1.11,Sectoral / Thematic,263.9271,5000,500.0,427.239792,4.3610245097,25.7932848547,52.169115693102,154.88685790592,131.89984100349,112.83597887873,350.37264755014
RELIANCE,1995-06-30T00:00:00.433Z,6.0,Nippon India Power & Infra Fund Direct Growth,2250.4486,Equity,31-Dec-2012,Exit load of 1% if redeemed within 1 month.,1.48,Sectoral / Thematic,231.7207,5000,100.0,283.197747,8.1571940297,48.1792819487,55.296724805563,153.36310969625,133.98245162754,121.77990961554,437.36059782166
SBI,1987-06-29T00:00:00.195Z,1.0,SBI Magnum Mid Cap Direct Plan Growth,11132.5262,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.91,Mid Cap,188.3135,5000,500.0,574.125312,2.692529628,24.5298535959,39.724033517932,152.42367366364,164.3106904294,143.34521132297,671.09120088861
HDFC,1999-12-10T00:00:00.872Z,2.0,HDFC Mid Cap Opportunities Direct Plan Growth,42731.6416,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year.,0.88,Mid Cap,133.856,100,100.0,614.298633,5.9140421034,36.7033839638,47.089558778425,156.35440331418,151.7737278284,125.6065188172,690.12062371286
CANARA_ROBECO,1987-12-19T00:00:00.570Z,18.0,Canara Robeco Infrastructure Direct Growth,319.0699,Equity,02-Jan-2013,"Exit load of 1% if redeemed within 1 year.
Same for SIP.",1.22,Sectoral / Thematic,106.26,5000,1000.0,361.788971,5.3804994055,28.6595693201,45.924807903402,149.76514795679,132.96823658269,125.94008922881,437.93626707132
IDFC,1999-12-20T00:00:00.239Z,9.0,Bandhan Emerging Businesses Fund Direct   Growth,1746.7166,Equity,25-Feb-2020,"Exit load of 1%, if redeemed within 1 year.",0.66,Small Cap,27.039,1000,100.0,167.27,6.2196963675,26.130250118,20.500450856627,151.66666666667,,,
BIRLA_SUN_LIFE,1994-12-23T00:00:00.980Z,4.0,Aditya Birla Sun Life Small Cap Fund Direct Growth,3713.7589,Equity,01-Jan-2013,1% for redemption within 90 days,0.91,Small Cap,70.0596,1000,1000.0,416.403694,6.610207046,28.2020253605,20.155799652468,148.22447049382,110.01924796532,71.819962802231,490.76251460143
BOI_AXA,2008-03-31T00:00:00.634Z,31.0,Bank of India Manufacturing & Infrastructure Direct Growth,107.728,Equity,02-Jan-2013,"For units more than 10% of the investments, an exit load of 1% if redeemed within 1 year.",1.26,Sectoral / Thematic,40.9,5000,1000.0,373.948598,4.7508391428,31.1671516327,38.748290013679,145.87878787879,159.3989769821,126.77473448854,472.2143864598
DHFL_PRAMERICA,2010-05-13T00:00:00.568Z,26.0,PGIM India Midcap Opportunities Fund Direct Growth,8965.4398,Equity,02-Dec-2013,0.5% for redemption within 90 days,0.42,Mid Cap,53.75,5000,1000.0,435.5,3.1195840555,15.0128865979,27.016129032258,150.35063113604,206.52547223812,165.625,
ESCORTS,1996-04-15T00:00:00.366Z,34.0,Quant Active Fund Direct Growth,4787.09251255,Equity,07-Jan-2013,Nil,0.58,Multi Cap,515.9421,5000,1000.0,602.428357,6.7274612899,22.7167029324,32.108178984381,161.08075129603,187.23290406155,185.78922621728,712.63956816061
MIRAE_ASSET,2019-04-26T00:00:00.018Z,13.0,Mirae Asset Midcap Fund Direct   Growth,10567.13257531,Equity,29-Jul-2019,Exit load of 1% if redeemed within 1 year.,0.62,Mid Cap,26.23,5000,1000.0,158.93,5.9235017386,21.3127811094,30.351389448248,142.71653543307,,,
RELIANCE,1995-06-30T00:00:00.662Z,6.0,Nippon India Growth Fund Direct  Growth,16353.1565,Equity,31-Dec-2012,Exit load of 1% if redeemed within 1 months,1.15,Mid Cap,2748.8036,100,100.0,440.797363,5.3222725476,29.3416251926,38.269993884337,145.4676739964,146.18420894372,142.38017491526,549.65939697904
Edelweiss,2008-04-30T00:00:00.761Z,15.0,Edelweiss Mid Cap Direct Plan Growth,3250.386,Equity,01-Jan-2013,"Exit load of 1%, if redeemed within 90 days.",0.48,Mid Cap,68.138,5000,100.0,631.396733,3.0722083308,23.3383809819,29.816038098164,143.03638193845,157.57448754096,130.89244851258,708.55160865925
BIRLA_SUN_LIFE,1994-12-23T00:00:00.393Z,4.0,Aditya Birla Sun Life PSU Equity Fund Direct   Growth,1133.4458,Equity,30-Dec-2019,Exit load of 1% if redeemed within 30 days.,0.78,Sectoral / Thematic,20.89,500,500.0,109.5,9.5711297071,41.6497633536,57.518796992481,136.99095022624,,,
Invesco,2006-07-24T00:00:00.168Z,16.0,Invesco India Infrastructure Fund Direct Growth,554.6058,Equity,01-Jan-2013,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",1.06,Sectoral / Thematic,45.4,1000,500.0,482.687339,4.8837209302,28.526645768,38.59864781807,138.62433862434,146.58283214871,144.70971242539,606.89655172414
RELIANCE,1995-06-30T00:00:00.822Z,6.0,Nippon India Banking & Financial Services Fund Direct Growth,4398.7004,Equity,31-Dec-2012,"Exit load of 1%, if redeemed within 1 month.",1.19,Sectoral / Thematic,485.5787,5000,100.0,302.801321,6.4365220335,30.9747885653,37.760806452465,135.52325083905,72.750605743941,74.116418271325,415.15973901063
ICICI_PRUDENTIAL,1993-10-12T00:00:00.607Z,3.0,ICICI Prudential Dividend Yield Equity Fund Direct Growth,1849.05445682,Equity,16-May-2014,Exit load of 1% if redeemed within 1 year.,0.66,Dividend Yield,36.38,5000,100.0,263.0,5.9544658494,29.5965726526,46.785281035179,138.34537097833,121.47651006711,107.78477389811,
IDFC,1999-12-20T00:00:00.234Z,9.0,Bandhan Tax Advantage (ELSS) Direct Plan Growth,4776.4903,Equity,01-Jan-2013,Nil,0.73,ELSS,130.526,500,500.0,483.666629,6.0972835976,26.4008516404,35.165062609955,140.80014749263,129.34152765584,118.88721300486,502.38352196733
KOTAK_MAHINDRA,1994-08-05T00:00:00.133Z,5.0,Kotak Emerging Equity Fund Direct Growth,29758.5003,Equity,01-Jan-2013,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",0.39,Mid Cap,97.948,100,100.0,595.623399,3.8711665569,23.4422751496,31.30188324423,140.02209944751,147.29678447643,138.34824803102,776.20114736465
MOTILAL_OSWAL,2009-12-29T00:00:00.885Z,19.0,Motilal Oswal Nifty Midcap 150 Index Fund Direct   Growth,846.895,Other,06-Sep-2019,Nil,0.3,Index,25.0525,500,500.0,148.662,5.2934227074,28.0983731545,34.66083245784,137.00152497141,,,
LIC,1994-04-20T00:00:00.494Z,20.0,LIC MF Infrastructure Fund Direct Growth,105.0472,Equity,02-Jan-2013,"Exit Load for units in excess of 12% of the investment,1% will be charged for redemption within 90 days.",1.47,Sectoral / Thematic,31.7478,5000,1000.0,265.124752,5.4646737931,26.0118678234,44.85651008276,131.03940626604,107.73278594258,117.853586705,326.23267937989
HDFC,1999-12-10T00:00:00.111Z,2.0,HDFC Retirement Savings Fund Equity Plan Direct Growth,3336.9853,Solution Oriented,25-Feb-2016,Nil,0.75,Retirement,40.807,100,100.0,311.0,6.7477014181,31.5410465675,39.525409919543,136.49231831521,138.63438425361,136.16617824513,
UNION_KBC,2009-12-30T00:00:00.797Z,27.0,Union Midcap Fund Direct   Growth,722.6314,Equity,23-Mar-2020,1% exit load if redeemed within 15 days.,0.83,Mid Cap,33.73,1000,1000.0,235.4,3.9355438488,22.4981738495,29.798761609907,140.60258249641,,,
Sundaram,1996-02-26T00:00:00.430Z,17.0,Sundaram Infrastructure Advantage Fund Direct Growth,673.57842693,Equity,02-Jan-2013,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",1.97,Sectoral / Thematic,65.8167,100,100.0,254.014599,6.1124884294,29.4597289267,36.116329517265,130.64774266167,103.65493080229,97.865997175584,394.45014176268
HDFC,1999-12-10T00:00:00.238Z,2.0,HDFC Flexi Cap Direct Plan Growth,36345.364,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.96,Flexi Cap,1391.645,100,100.0,371.265781,5.5963041011,28.8890342408,46.05739257162,133.41842054773,103.03343849679,116.57910054057,433.47886598921
MAHINDRA,2016-02-04T00:00:00.105Z,28.0,Mahindra Manulife Mid Cap Fund Direct   Growth,1295.0578,Equity,30-Jan-2018,Exit load of 1% if redeemed within 3 months.,0.6,Mid Cap,22.9931,1000,500.0,145.585719,5.4928140851,29.1878601008,32.253697986267,136.83352759755,151.02277324062,135.92581175503,
HDFC,1999-12-10T00:00:00.814Z,2.0,HDFC Focused 30 Fund Direct Plan Growth,5308.2981,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.57,Focused,165.016,100,100.0,311.274875,4.9295730067,29.4462189665,52.830206076252,130.40951930829,108.37513357219,107.03472395703,417.63530183317
SBI,1987-06-29T00:00:00.646Z,1.0,SBI Infrastructure Fund Direct Growth,1082.1951,Equity,02-Jan-2013,Exit load of 0.50% if redeemed within 30 days.,1.82,Sectoral / Thematic,34.8705,5000,500.0,302.518476,6.1245676847,33.4434576219,45.629822736368,130.3479858321,123.11468694394,129.48662242587,415.90421359539
HDFC,1999-12-10T00:00:00.362Z,2.0,HDFC Large and Mid Cap Fund Direct  Growth,9843.5531,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,1.01,Large & MidCap,240.195,100,100.0,260.051997,6.8958021887,28.1534190625,40.290860822281,131.57469872571,118.03474484256,116.05250416913,270.12825435834
ICICI_PRUDENTIAL,1993-10-12T00:00:00.518Z,3.0,ICICI Prudential Manufacturing Fund Direct   Growth,896.96122072,Equity,11-Oct-2018,Exit load of 1% if redeemed within 1 year.,1.58,Sectoral / Thematic,23.26,5000,100.0,134.7,7.6605504587,33.2765474162,42.93544457978,134.46553446553,130.77679449361,,
ICICI_PRUDENTIAL,1993-10-12T00:00:00.207Z,3.0,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,8582.18564602,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 month.,1.01,Large & MidCap,722.79,5000,100.0,366.675273,6.3061473542,25.293730288,43.439273102408,129.43547107543,116.00095599438,119.86984551758,390.41579054467
Tata,1995-06-30T00:00:00.999Z,14.0,Tata Midcap Growth Direct Plan Growth,2143.01865762,Equity,01-Jan-2013,"For units more than 12% of the investments, an exit load of 1% if redeemed within 365 days.",0.95,Mid Cap,326.7352,5000,150.0,548.808988,5.6970893134,25.5639473953,30.88030608004,124.87416148494,133.85241599124,135.08726091621,637.43534527289
FRANKLIN_TEMPLETON,1996-02-19T00:00:00.716Z,11.0,Templeton India Equity Income Direct Plan Growth,1498.41108833,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,1.13,Dividend Yield,104.1577,5000,500.0,343.729518,4.7384769499,18.6627219206,32.124190624685,129.74604334873,119.96619493687,109.81171158779,372.97019995896
MAHINDRA,2016-02-04T00:00:00.387Z,28.0,Mahindra Manulife Multi Cap Fund Direct   Growth,1844.9249,Equity,11-May-2017,Exit load of 1% if redeemed within 3 months.,0.47,Multi Cap,26.9989,1000,500.0,171.89,6.9653992171,28.491831324,34.277276229232,128.25648947245,144.43505466053,143.99414895049,
DSP,1996-12-16T00:00:00.968Z,10.0,DSP Natural Resources and New Energy Fund Direct Plan Growth,682.8317,Equity,03-Jan-2013,Nil,1.18,Sectoral / Thematic,67.93,100,100.0,406.846273,7.842519685,31.3336657589,25.729813094407,132.61659703115,118.68812671648,105.21426430926,540.95844253089
ICICI_PRUDENTIAL,1993-10-12T00:00:00.572Z,3.0,ICICI Prudential India Equity FOF Direct   Growth,72.53404893,Other,25-Feb-2020,Exit load of 1% if redeemed within 12 months.,0.79,FoF Overseas/Domestic,20.7073,500,100.0,105.495,5.8837774892,20.9228017112,33.788420346751,120.96474155636,,,
ICICI_PRUDENTIAL,1993-10-12T00:00:00.257Z,3.0,ICICI Prudential Thematic Advantage Fund (FOF)Direct  Growth,1178.36690654,Other,04-Apr-2013,Exit load of 1% if redeemed within 1 year,0.34,FoF Overseas/Domestic,160.5866,5000,1000.0,217.083878,5.5134493473,23.6207736619,32.732975348017,126.89858058381,127.38797863802,118.50229268725,
UTI,2002-11-14T00:00:00.145Z,8.0,UTI Mid Cap Fund Direct Growth,8228.9389,Equity,01-Jan-2013,Exit load of 1% if redeemed less than 1 year,0.97,Mid Cap,237.4378,5000,500.0,547.240055,4.5307020362,21.8813996789,27.101942741388,124.95427855469,143.57379361184,113.58118464186,638.25736476803
ESCORTS,1996-04-15T00:00:00.782Z,34.0,Quant Multi Asset Fund Direct Growth,842.53180144,Hybrid,07-Jan-2013,Nil,0.56,Multi Asset Allocation,98.4417,5000,1000.0,304.633412,6.5157690489,24.4327785826,35.485175054404,143.86536132468,163.98117046444,185.13084807549,289.73064172156
BARODABNPPARIBASMUTUALFUND_MF,2004-04-15T00:00:00.754Z,25.0,Baroda BNP Paribas Midcap Direct Growth,1351.6193,Equity,02-Jan-2013,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",0.66,Mid Cap,78.2946,5000,500.0,526.46587,5.1210888236,23.4667728998,25.787161258942,125.02124839737,137.6860595695,128.19414536944,582.13300027949
SBI,1987-06-29T00:00:00.724Z,1.0,SBI PSU Direct Plan Growth,562.0318,Equity,01-Jan-2013,Exit load of 0.50% if redeemed within 30 days.,1.38,Sectoral / Thematic,19.6691,5000,500.0,133.569231,11.4105401012,43.70194548,53.83763981449,118.77050634034,86.970443349753,85.743998042481,184.63102637689
UTI,2002-11-14T00:00:00.264Z,8.0,UTI Transportation and Logistics Fund Direct Growth,2293.3299,Equity,01-Jan-2013,Exit load of 1% if redeemed within 30 days.,0.97,Sectoral / Thematic,197.809,5000,500.0,508.674848,6.0094059257,25.3583580685,53.276366103226,129.8010919009,125.07894353492,60.606516126401,555.42876721269
